COLOR_GrasSurface
N045.21.42.766 E005.20.17.857
N045.21.42.613 E005.20.17.743
N045.21.42.446 E005.20.17.636
N045.21.42.291 E005.20.17.498
N045.21.42.115 E005.20.17.310
N045.21.41.987 E005.20.17.157
N045.21.41.869 E005.20.16.961
N045.21.41.753 E005.20.16.789
N045.21.41.650 E005.20.16.582
N045.21.41.575 E005.20.16.405
N045.21.41.512 E005.20.16.232
N045.21.41.433 E005.20.15.958
N045.21.41.372 E005.20.15.713
N045.21.41.312 E005.20.15.363
N045.21.41.287 E005.20.14.888
N045.21.41.265 E005.20.14.012
N045.21.41.322 E005.19.59.076
N045.21.41.353 E005.19.58.869
N045.21.41.440 E005.19.58.607
N045.21.41.534 E005.19.58.434
N045.21.41.674 E005.19.58.260
N045.21.41.859 E005.19.58.140
N045.21.42.034 E005.19.58.071
N045.21.42.186 E005.19.58.041
N045.21.43.281 E005.19.58.043
N045.21.43.283 E005.19.57.130
N045.21.42.289 E005.19.57.094
N045.21.42.095 E005.19.57.060
N045.21.41.888 E005.19.56.984
N045.21.41.707 E005.19.56.896
N045.21.41.582 E005.19.56.790
N045.21.41.492 E005.19.56.652
N045.21.41.401 E005.19.56.399
N045.21.41.338 E005.19.56.002
N045.21.41.316 E005.19.55.703
N045.21.41.316 E005.19.54.935
N045.21.41.462 E005.19.03.056
N045.21.41.524 E005.19.02.676
N045.21.41.621 E005.19.02.323
N045.21.41.772 E005.19.01.967
N045.21.41.930 E005.19.01.676
N045.21.42.117 E005.19.01.461
N045.21.42.448 E005.19.01.161
N045.21.42.456 E005.18.59.949
N045.21.42.315 E005.18.59.877
N045.21.42.152 E005.18.59.725
N045.21.41.976 E005.18.59.566
N045.21.41.847 E005.18.59.393
N045.21.41.754 E005.18.59.239
N045.21.41.648 E005.18.59.030
N045.21.41.564 E005.18.58.764
N045.21.41.490 E005.18.58.476
N045.21.41.461 E005.18.58.231
N045.21.41.506 E005.18.41.006
N045.21.41.564 E005.18.40.089
N045.21.41.611 E005.18.39.364
N045.21.41.669 E005.18.38.818
N045.21.41.778 E005.18.38.389
N045.21.41.926 E005.18.38.038
N045.21.42.152 E005.18.37.648
N045.21.42.378 E005.18.37.354

COLOR_HardSurface2
N045.21.49.956 E005.20.12.862
N045.21.50.043 E005.20.12.876
N045.21.50.155 E005.20.12.874
N045.21.50.262 E005.20.12.851
N045.21.50.368 E005.20.12.776
N045.21.50.528 E005.20.12.619
N045.21.50.848 E005.20.12.282
N045.21.50.920 E005.20.12.137
N045.21.50.961 E005.20.12.014
N045.21.50.990 E005.20.11.862
N045.21.50.999 E005.20.11.711
N045.21.51.020 E005.20.11.558
N045.21.51.079 E005.20.11.406
N045.21.52.916 E005.20.09.578
N045.21.53.056 E005.20.09.506
N045.21.53.263 E005.20.09.461
N045.21.53.426 E005.20.09.462
N045.21.57.946 E005.20.09.507
N045.21.58.210 E005.20.09.491
N045.21.58.346 E005.20.09.484
N045.21.58.500 E005.20.09.453
N045.21.58.616 E005.20.09.417
N045.21.58.736 E005.20.09.349
N045.21.58.824 E005.20.09.282
N045.21.58.910 E005.20.09.212
N045.21.58.983 E005.20.09.119
N045.21.59.057 E005.20.09.009
N045.21.59.126 E005.20.08.873
N045.21.59.178 E005.20.08.693
N045.21.59.199 E005.20.08.460
N045.21.59.217 E005.20.03.762
N045.21.59.276 E005.20.03.488
N045.21.59.371 E005.20.03.295
N045.21.59.473 E005.20.03.139
N045.21.59.680 E005.20.03.036
N045.22.00.406 E005.20.03.046
N045.22.00.380 E005.19.50.724
N045.22.00.243 E005.19.50.748
N045.21.55.734 E005.19.50.845
N045.21.55.441 E005.19.50.845
N045.21.55.132 E005.19.50.907
N045.21.54.926 E005.19.51.016
N045.21.54.751 E005.19.51.139
N045.21.52.648 E005.19.52.970
N045.21.51.711 E005.19.52.850
N045.21.51.092 E005.19.53.654
N045.21.51.038 E005.19.53.794
N045.21.51.009 E005.19.54.080
N045.21.50.989 E005.19.54.384
N045.21.51.173 E005.19.54.800
N045.21.54.876 E005.19.51.528
N045.21.55.105 E005.19.51.376
N045.21.55.324 E005.19.51.303
N045.21.55.580 E005.19.51.297
N045.21.58.511 E005.19.51.293
N045.21.58.622 E005.19.51.330
N045.21.58.774 E005.19.51.468
N045.21.58.875 E005.19.51.652
N045.21.58.898 E005.19.51.848
N045.21.58.932 E005.20.08.253
N045.21.58.919 E005.20.08.505
N045.21.58.869 E005.20.08.680
N045.21.58.762 E005.20.08.826
N045.21.58.674 E005.20.08.901
N045.21.58.553 E005.20.09.000
N045.21.58.402 E005.20.09.078
N045.21.58.184 E005.20.09.094
N045.21.53.275 E005.20.09.031
N045.21.53.013 E005.20.09.059
N045.21.52.829 E005.20.09.126
N045.21.52.617 E005.20.09.333
N045.21.49.764 E005.20.12.150

COLOR_HardSurface3
N045.21.27.112 E005.19.49.397
N045.21.27.427 E005.19.50.550
N045.21.33.256 E005.19.47.369
N045.21.32.226 E005.19.46.694
N045.21.32.128 E005.19.46.689
N045.21.32.019 E005.19.46.706

COLOR_HardSurface3
N045.21.25.922 E005.19.50.041
N045.21.24.624 E005.19.50.728
N045.21.25.439 E005.19.53.805
N045.21.25.790 E005.19.54.742
N045.21.25.879 E005.19.55.002
N045.21.26.106 E005.19.54.963
N045.21.26.336 E005.19.54.991
N045.21.26.600 E005.19.55.077
N045.21.26.813 E005.19.55.219
N045.21.26.913 E005.19.55.287
N045.21.27.027 E005.19.55.685
N045.21.27.331 E005.19.55.198

COLOR_HardSurface3
N045.21.29.918 E005.19.59.703
N045.21.28.868 E005.19.55.877
N045.21.29.142 E005.19.55.703
N045.21.29.173 E005.19.55.634
N045.21.29.184 E005.19.55.570
N045.21.28.882 E005.19.54.311
N045.21.36.340 E005.19.50.134
N045.21.36.174 E005.19.49.495
N045.21.35.854 E005.19.49.672
N045.21.35.621 E005.19.49.747
N045.21.35.380 E005.19.49.795
N045.21.35.158 E005.19.49.809
N045.21.34.862 E005.19.49.799
N045.21.34.614 E005.19.49.743
N045.21.34.397 E005.19.49.667
N045.21.34.078 E005.19.49.541
N045.21.33.819 E005.19.49.456
N045.21.33.712 E005.19.49.408
N045.21.33.642 E005.19.49.404
N045.21.27.791 E005.19.52.545
N045.21.27.761 E005.19.52.585
N045.21.27.756 E005.19.52.639
N045.21.27.770 E005.19.52.727
N045.21.28.288 E005.19.54.627
N045.21.27.285 E005.19.55.190
N045.21.27.006 E005.19.55.612
N045.21.28.407 E005.20.00.583

COLOR_HardSurface3
N045.21.40.014 E005.19.51.329
N045.21.38.493 E005.19.51.257
N045.21.38.495 E005.19.51.695
N045.21.38.458 E005.19.51.826
N045.21.38.407 E005.19.51.969
N045.21.38.359 E005.19.52.148
N045.21.38.328 E005.20.00.628
N045.21.38.047 E005.20.01.839
N045.21.37.968 E005.20.12.615
N045.21.37.962 E005.20.12.615
N045.21.39.723 E005.20.12.624
N045.21.39.909 E005.20.12.665

COLOR_HardSurface3
N045.22.00.106 E005.19.51.326
N045.21.59.305 E005.19.51.341
N045.21.59.317 E005.20.02.230
N045.22.00.086 E005.20.02.216

COLOR_HardSurface3
N045.22.01.165 E005.19.45.673
N045.22.00.869 E005.19.45.674
N045.22.00.817 E005.19.48.991
N045.22.00.606 E005.19.48.987
N045.22.00.556 E005.19.50.297
N045.22.00.528 E005.19.50.495
N045.22.00.425 E005.19.50.660
N045.22.00.349 E005.19.50.737
N045.22.00.379 E005.20.03.062
N045.22.00.452 E005.20.03.036
N045.22.00.509 E005.19.51.697
N045.22.01.137 E005.19.51.742
N045.22.01.132 E005.19.50.202
N045.22.01.351 E005.19.50.202
N045.22.01.371 E005.19.48.999
N045.22.01.152 E005.19.48.975

COLOR_HardSurface3
N045.21.40.607 E005.20.21.458
N045.21.40.610 E005.20.19.955
N045.21.40.567 E005.20.20.158
N045.21.40.511 E005.20.20.309
N045.21.40.439 E005.20.20.409
N045.21.40.365 E005.20.20.475
N045.21.40.267 E005.20.20.531
N045.21.40.192 E005.20.20.542
N045.21.39.930 E005.20.20.530
N045.21.39.867 E005.20.20.499
N045.21.39.823 E005.20.20.438
N045.21.39.782 E005.20.20.362
N045.21.39.759 E005.20.20.263
N045.21.39.757 E005.20.20.140
N045.21.39.767 E005.20.19.449
N045.21.36.674 E005.20.19.258
N045.21.36.615 E005.20.19.234
N045.21.36.555 E005.20.19.170
N045.21.36.459 E005.20.18.987
N045.21.36.404 E005.20.18.805
N045.21.36.325 E005.20.18.651
N045.21.36.241 E005.20.18.560
N045.21.36.165 E005.20.18.528
N045.21.35.904 E005.20.18.522
N045.21.35.717 E005.20.28.085
N045.21.38.258 E005.20.28.194
N045.21.38.292 E005.20.28.204
N045.21.38.334 E005.20.28.246
N045.21.38.345 E005.20.28.279
N045.21.38.356 E005.20.28.334
N045.21.38.345 E005.20.29.213
N045.21.39.469 E005.20.29.259
N045.21.39.474 E005.20.28.350
N045.21.39.481 E005.20.28.305
N045.21.39.497 E005.20.28.278
N045.21.39.532 E005.20.28.247
N045.21.39.571 E005.20.28.238
N045.21.40.169 E005.20.28.252
N045.21.40.254 E005.20.28.266
N045.21.40.329 E005.20.28.305
N045.21.40.403 E005.20.28.377
N045.21.40.461 E005.20.28.470
N045.21.40.508 E005.20.28.598
N045.21.40.587 E005.20.28.933
N045.21.40.590 E005.20.27.556
N045.21.40.495 E005.20.27.714
N045.21.40.390 E005.20.27.822
N045.21.40.307 E005.20.27.875
N045.21.40.179 E005.20.27.886
N045.21.38.507 E005.20.27.844
N045.21.38.451 E005.20.27.823
N045.21.38.412 E005.20.27.765
N045.21.38.376 E005.20.27.663
N045.21.38.367 E005.20.27.484
N045.21.38.479 E005.20.21.160
N045.21.38.496 E005.20.21.043
N045.21.38.525 E005.20.20.949
N045.21.38.558 E005.20.20.880
N045.21.38.593 E005.20.20.840
N045.21.38.629 E005.20.20.824
N045.21.38.686 E005.20.20.812
N045.21.39.960 E005.20.20.854
N045.21.40.130 E005.20.20.869
N045.21.40.249 E005.20.20.885
N045.21.40.317 E005.20.20.914
N045.21.40.389 E005.20.20.961
N045.21.40.474 E005.20.21.053
N045.21.40.550 E005.20.21.203

COLOR_HardSurface3
N045.21.40.574 E005.20.34.081
N045.21.40.580 E005.20.31.970
N045.21.40.538 E005.20.32.244
N045.21.40.487 E005.20.32.391
N045.21.40.405 E005.20.32.507
N045.21.40.273 E005.20.32.593
N045.21.40.057 E005.20.32.672
N045.21.39.848 E005.20.32.722
N045.21.39.583 E005.20.32.763
